,powergamma,zzclassification
0,24.3555,TA
1,5.5139,TA
2,29.744,TA
4,51.7185,TA
5,34.7109,TA
6,23.7281,HVS
8,26.4419,TA
10,27.3842,TA
11,29.7165,HVS
12,39.7811,HVS
13,46.4522,HVS
14,22.2593,HVS
15,29.2505,TA
17,33.778,TA
18,212.8147,TA
20,216.1373,TA
21,8.7909,TA
23,6.6672,TA
25,10.4915,TA
26,20.0884,TA
28,25.9383,TA
29,24.5814,TA
31,27.3043,TA
32,40.3971,TA
33,38.5184,TA
34,15.4572,TA
35,19.2748,TA
36,18.9897,HVS
38,25.5815,HVS
39,23.5458,HVS
40,14.5252,HVS
41,17.2004,HVS
42,17.3279,HVS
43,26.4157,HVS
45,27.3651,HVS
46,16.31,HVS
48,15.8967,HVS
49,20.1848,HVS
50,12.208,HVS
52,12.4102,HVS
53,23.4093,HVS
54,14.3223,TA
55,12.1098,TA
56,21.8598,TA
57,19.0905,TA
58,36.0451,HVS
60,36.717,HVS
61,28.7197,HVS
62,49.8883,HVS
63,47.3353,HVS
65,59.9792,HVS
66,57.0434,HVS
67,55.1166,HVS
68,19.6983,HVS
70,19.7026,HVS
71,20.9023,TA
72,19.0544,TA
73,18.0857,HVS
74,24.1519,HVS
75,21.0479,TA
76,18.0857,TA
