Índice & meanAdelta & meanFidelta & meanAalpha & meanFialpha & meanAtheta & meanFitheta & meanAbeta & meanFibeta & zzclassification \\ \hline
0 & 9.0181 & 7.0957 & 2.4406 & 8.0276 & 1.5104 & 8.4754 & 1.3049 & 13.1943 & TA \\ \hline
1 & 12.3898 & 6.5362 & 2.291 & 7.6032 & 1.3195 & 7.5035 & 1.2011 & 12.4959 & TA \\ \hline
2 & 23.5803 & 17.2953 & 4.4565 & 14.2285 & 3.024 & 17.5521 & 3.2146 & 33.202 & TA \\ \hline
4 & 27.5427 & 18.2348 & 4.8415 & 15.6295 & 3.1121 & 18.1274 & 3.7166 & 38.521 & TA \\ \hline
5 & 19.9093 & 15.3703 & 4.4203 & 14.4103 & 3.4243 & 20.2129 & 3.3874 & 33.7424 & TA \\ \hline
6 & 34.4646 & 23.8007 & 7.7404 & 24.8639 & 3.7161 & 21.0867 & 3.5209 & 35.8646 & HVS \\ \hline
8 & 38.3116 & 21.2718 & 7.8598 & 25.7298 & 3.5626 & 19.5244 & 2.8373 & 29.4249 & TA \\ \hline
10 & 27.3461 & 18.66 & 6.3035 & 21.1138 & 3.3137 & 18.6864 & 3.0047 & 31.5696 & TA \\ \hline
11 & 24.4072 & 22.3087 & 11.0771 & 35.8476 & 4.8619 & 27.3173 & 4.2682 & 43.1619 & HVS \\ \hline
12 & 42.5261 & 27.9303 & 10.5465 & 34.9608 & 5.2247 & 29.5659 & 4.0209 & 39.1651 & HVS \\ \hline
13 & 36.0074 & 24.1931 & 9.846 & 31.5824 & 4.5428 & 25.8474 & 3.2307 & 31.9142 & HVS \\ \hline
14 & 41.7923 & 25.3296 & 8.8646 & 28.4801 & 4.0207 & 22.7322 & 3.3056 & 32.027 & HVS \\ \hline
15 & 40.2356 & 25.8576 & 7.6913 & 25.3664 & 4.4223 & 25.5036 & 3.7225 & 36.2491 & TA \\ \hline
17 & 37.21 & 24.1184 & 7.6585 & 24.8423 & 4.6157 & 26.3416 & 3.7417 & 36.6791 & TA \\ \hline
18 & 32.1738 & 21.2997 & 8.2962 & 25.9748 & 4.1427 & 23.6449 & 3.3528 & 31.6062 & TA \\ \hline
20 & 24.496 & 17.2824 & 7.5034 & 24.6688 & 3.5752 & 20.3748 & 2.8537 & 27.0911 & TA \\ \hline
21 & 24.1289 & 13.8068 & 5.2911 & 17.4139 & 2.899 & 16.6395 & 2.1614 & 20.9592 & TA \\ \hline
23 & 19.0991 & 13.3985 & 5.3042 & 18.0854 & 2.7114 & 15.0467 & 1.8024 & 17.4559 & TA \\ \hline
25 & 13.9867 & 10.8505 & 5.0888 & 16.8326 & 2.4701 & 14.0247 & 1.7996 & 17.3776 & TA \\ \hline
26 & 17.3434 & 12.4744 & 4.3961 & 14.1751 & 2.2957 & 13.1221 & 1.9491 & 19.7588 & TA \\ \hline
28 & 21.3629 & 13.5492 & 4.8373 & 15.2147 & 2.3518 & 13.3521 & 1.9064 & 19.3048 & TA \\ \hline
29 & 21.2526 & 15.0064 & 6.2684 & 20.7661 & 3.1737 & 17.6391 & 2.2657 & 22.1603 & TA \\ \hline
