Índice & \textbf{Potência} & \textbf{Etiqueta} \\ \hline
1 & 24.3555 & TA \\ \hline
2 & 5.5139 & TA \\ \hline
3 & 29.744 & TA \\ \hline
4 & 51.7185 & TA \\ \hline
5 & 23.7281 & HVS \\ \hline
6 & 26.4419 & TA \\ \hline
7 & 27.3842 & TA \\ \hline
8 & 39.7811 & HVS \\ \hline
9 & 46.4522 & HVS \\ \hline
10 & 22.2593 & HVS \\ \hline
11 & 29.2505 & TA \\ \hline
12 & 33.778 & TA \\ \hline
13 & 212.8147 & TA \\ \hline
14 & 216.1373 & TA \\ \hline
15 & 8.7909 & TA \\ \hline
16 & 6.6672 & TA \\ \hline
17 & 10.4915 & TA \\ \hline
18 & 20.0884 & TA \\ \hline
19 & 25.9383 & TA \\ \hline
20 & 24.5814 & TA \\ \hline
21 & 27.3043 & TA \\ \hline
22 & 40.3971 & TA \\ \hline
23 & 38.5184 & TA \\ \hline
24 & 15.4572 & TA \\ \hline
25 & 19.2748 & TA \\ \hline
26 & 18.9897 & HVS \\ \hline
27 & 25.5815 & HVS \\ \hline
28 & 23.5458 & HVS \\ \hline
29 & 14.5252 & HVS \\ \hline
30 & 17.2004 & HVS \\ \hline
31 & 17.3279 & HVS \\ \hline
32 & 26.4157 & HVS \\ \hline
33 & 27.3651 & HVS \\ \hline
34 & 16.31 & HVS \\ \hline
35 & 15.8967 & HVS \\ \hline
36 & 20.1848 & HVS \\ \hline
37 & 12.208 & HVS \\ \hline
38 & 12.4102 & HVS \\ \hline
39 & 23.4093 & HVS \\ \hline
40 & 14.3223 & TA \\ \hline
41 & 12.1098 & TA \\ \hline
42 & 21.8598 & TA \\ \hline
43 & 19.0905 & TA \\ \hline
44 & 36.0451 & HVS \\ \hline
45 & 36.717 & HVS \\ \hline
46 & 28.7197 & HVS \\ \hline
47 & 49.8883 & HVS \\ \hline
48 & 47.3353 & HVS \\ \hline
49 & 59.9792 & HVS \\ \hline
50 & 57.0434 & HVS \\ \hline
51 & 55.1166 & HVS \\ \hline
52 & 19.6983 & HVS \\ \hline
53 & 19.7026 & HVS \\ \hline
54 & 20.9023 & TA \\ \hline
55 & 19.0544 & TA \\ \hline
56 & 24.1519 & HVS \\ \hline
57 & 21.0479 & TA \\ \hline
58 & 18.0857 & TA \\ \hline
